wkt,Parcel Type.ID
"POLYGON((-81.5342106038822 42.9506745401838, -81.5391511350674 42.9470766250913, -81.5365654164017 42.9451177757241, -81.5362914360353 42.9449102070038, -81.5334148223702 42.9427307428527, -81.5308143223836 42.9445952855894, -81.5281682090611 42.946492356163, -81.5280900196883 42.9465985536454, -81.530367498193 42.9482881608461, -81.5321055853396 42.9495788893781, -81.5334858661384 42.950596124526, -81.5334988181815 42.9506056672834, -81.5342106038822 42.9506745401838))",PIN.085270056
"POLYGON((-81.5089594795606 43.2657167258756, -81.5151181604435 43.2650332904201, -81.5144163153891 43.261385077105, -81.5137352135524 43.2578442134207, -81.5075546149152 43.258535238255, -81.5089594795606 43.2657167258756))",PIN.096940047
"POLYGON((-81.3693534364705 43.2063953020894, -81.3756310537333 43.2057128339644, -81.3753800889407 43.2043865141891, -81.3742344304621 43.2045025086223, -81.3741787644866 43.2042082894629, -81.3753244218676 43.2040922958316, -81.3749465935989 43.2020953761546, -81.3686507190903 43.2028630370148, -81.3693534364705 43.2063953020894))",PIN.097030141
"POLYGON((-81.4015469132877 43.2741450840836, -81.4070720146905 43.2735810573567, -81.4139518444943 43.2727664347375, -81.4133089273883 43.2692018146248, -81.4132718185794 43.2692060665108, -81.4009620771816 43.2706152613116, -81.4015469132877 43.2741450840836))",PIN.097050021
"POLYGON((-81.4009620771816 43.2706152613116, -81.4132718185794 43.2692060665108, -81.4128362467182 43.2667908212688, -81.4128733551595 43.2667865695875, -81.4126662635711 43.2656381997924, -81.412287303218 43.2636813495172, -81.3996338970805 43.2652437261544, -81.4002933072418 43.2669531301623, -81.4007439522526 43.2694208869258, -81.4009620771816 43.2706152613116))",PIN.097050022
"POLYGON((-81.4094093539653 43.2528431949493, -81.4101517862445 43.2527622349738, -81.4100659763559 43.2523277944505, -81.409323549772 43.2524087546471, -81.4094093539653 43.2528431949493))",PIN.097050028
"POLYGON((-81.3737890450614 43.2621706376318, -81.379989106697 43.2615230379596, -81.3860814405803 43.2608637543113, -81.3853399959468 43.2571913760255, -81.373078372257 43.2585533702069, -81.3732734587094 43.259546363741, -81.3737890450614 43.2621706376318))",PIN.097050042
"POLYGON((-81.373078372257 43.2585533702069, -81.3853399959468 43.2571913760255, -81.3846421633122 43.2535719589826, -81.3723685160092 43.2549359904149, -81.3724023069868 43.2551118627973, -81.373078372257 43.2585533702069))",PIN.097050043
"POLYGON((-79.0434726919948 43.8755073256336, -79.0436158827238 43.8754767491852, -79.0435071704402 43.8752104667535, -79.0433639809363 43.8752410502769, -79.0434726919948 43.8755073256336))",PIN.264270022
"POLYGON((-81.5148630579729 44.0933058956111, -81.5179328270273 44.0893236080672, -81.5134900738513 44.0875379382412, -81.5090769183676 44.0857638862944, -81.5059787172692 44.0897416664907, -81.5104300431372 44.0915275994031, -81.5123895440063 44.0923414952509, -81.5148630579729 44.0933058956111))",PIN.333230068
"POLYGON((-81.5073623619924 44.0955224658764, -81.5089293206991 44.0934774910859, -81.5104300431372 44.0915275994031, -81.5059787172692 44.0897416664907, -81.5034809114559 44.0929481521533, -81.5040156787192 44.0931430592806, -81.5034226836555 44.0939197622363, -81.5073623619924 44.0955224658764))",PIN.333230069
"POLYGON((-81.4982207974986 44.0972372389742, -81.4990445648891 44.0961800332049, -81.5002888321281 44.096675385645, -81.5057522660718 44.0896624231138, -81.5014028197806 44.0879420616607, -81.4951691423148 44.0960222529421, -81.4982207974986 44.0972372389742))",PIN.333230072
"POLYGON((-81.5094953049996 44.0857247091026, -81.509722553823 44.0854295828529, -81.509426627619 44.0853106168946, -81.5091993877021 44.0856057417897, -81.5094953049996 44.0857247091026))",PIN.333230106
"POLYGON((-81.5089798110768 44.0855176922596, -81.5106563971745 44.083340237021, -81.510107163784 44.0831205137695, -81.5103510250465 44.0828037905064, -81.5109002561766 44.0830235132754, -81.5150403473562 44.0776457508439, -81.5106595263677 44.0758764985896, -81.5053977925485 44.0827310602058, -81.5046247026804 44.0837380266575, -81.5046025830081 44.0837668344282, -81.5089798110768 44.0855176922596))",PIN.333230115
"POLYGON((-81.1272282482632 43.8413852615004, -81.1277342367958 43.8432450083953, -81.1330118324603 43.8424838833574, -81.1339189313537 43.8423540797048, -81.1400730913959 43.8414732547575, -81.1391025995813 43.8378704802432, -81.1381414576214 43.8343019769594, -81.1257769141582 43.8360502786102, -81.1267574381918 43.8396547048456, -81.1270959190817 43.8408988693683, -81.1291492534831 43.84060619335, -81.1292815990013 43.8410925835217, -81.1272282482632 43.8413852615004))",PIN.410280026
"POLYGON((-81.1860904024774 43.9569449822033, -81.1867027734993 43.9568398041794, -81.1867272972225 43.9569286161449, -81.1869656505835 43.9568876939101, -81.1872158605389 43.9568447193804, -81.1870913116574 43.9564009042298, -81.1868484939449 43.956442611315, -81.1866046602734 43.9564844928662, -81.1859897666912 43.956590105009, -81.1860400844433 43.9567675431461, -81.1860904024774 43.9569449822033))",PIN.410340080
"POLYGON((-81.1868511962951 43.9573725576412, -81.1870828103381 43.9573327775928, -81.1873404115007 43.957288533769, -81.1872158605389 43.9568447193804, -81.1869656505835 43.9568876939101, -81.1867272972225 43.9569286161449, -81.1867027734993 43.9568398041794, -81.1860904024774 43.9569449822033, -81.1861407208866 43.9571224203832, -81.1861910396242 43.9572998585844, -81.1868008792534 43.9571951162465, -81.1868511962951 43.9573725576412))",PIN.410340081
"POLYGON((-81.3327351181499 43.8895001668226, -81.3329968045813 43.8895444224316, -81.3333580389653 43.8895793857826, -81.3336196284624 43.8896056348904, -81.3338562203009 43.8896139500091, -81.3341228610093 43.8896233190809, -81.334145450701 43.889261464464, -81.3320440320798 43.889133220584, -81.331921746683 43.8891257570232, -81.3312419013878 43.8888436230285, -81.3310860948267 43.8890399956398, -81.3305404592987 43.8888135536164, -81.3300997272567 43.8894242544319, -81.3301078397687 43.8894267407628, -81.330506668106 43.8895066258069, -81.3307060592198 43.8895420645182, -81.3309178486173 43.8895684603404, -81.3311793846281 43.8895857134653, -81.3314407741535 43.8895759535475, -81.3315901683125 43.8895755181378, -81.3317271146737 43.8895751239662, -81.3319886523919 43.8895923714947, -81.3321627919015 43.8895648560197, -81.3323118841377 43.8895104000088, -81.3324860794219 43.8894918862068, -81.3327351181499 43.8895001668226))",PIN.410510359
"POLYGON((-81.4095196687785 43.8760964687861, -81.4102229003389 43.8751845709296, -81.4108643728079 43.8743449219752, -81.4111481659792 43.8739837507756, -81.4120733301078 43.8727739236891, -81.4136263545616 43.870750384219, -81.4070129905207 43.868120659055, -81.4028917962514 43.873479755947, -81.4053262590542 43.8744367184001, -81.4062622922857 43.8748115510225, -81.4077973580795 43.8754183388541, -81.4095196687785 43.8760964687861))",PIN.410660050
"POLYGON((-81.4472799271056 43.8138267661287, -81.4486673899155 43.8119985977133, -81.4495680922713 43.8124067698489, -81.452318364653 43.8087829360432, -81.4496696887 43.8077148617724, -81.4468264340573 43.8065645113485, -81.4457295250882 43.8061317009759, -81.4429468535896 43.8098390017687, -81.4415544293394 43.8115371110397, -81.4465059235827 43.8135175909374, -81.4472799271056 43.8138267661287))",PIN.410690056
"POLYGON((-81.4326985117197 43.7658226001367, -81.4358497194079 43.7617044132321, -81.4341506339171 43.7610086952773, -81.435087171141 43.7598716998366, -81.4302333835039 43.7578840215428, -81.4292060360944 43.7592445916633, -81.4281227069175 43.7606262524706, -81.4262310012166 43.7631709794729, -81.4326985117197 43.7658226001367))",PIN.410700021
"POLYGON((-81.4416515046582 43.7484836171575, -81.4385095083267 43.7471980548032, -81.4367375699333 43.74947382653, -81.4352854976145 43.751343175932, -81.4344950556172 43.7523668148893, -81.4365537530707 43.7532291648941, -81.4381236212583 43.7538804468336, -81.4409646658961 43.7550710572191, -81.44499560325 43.7498517138221, -81.4429020095313 43.7489952240736, -81.4416515046582 43.7484836171575))",PIN.410700039
"POLYGON((-81.4385095083267 43.7471980548032, -81.4401082376443 43.7450309657029, -81.4404649933173 43.7445624557007, -81.4345899565706 43.7421582988982, -81.432531244659 43.7448022884458, -81.4351709033694 43.7458333031594, -81.4368526806838 43.7465200992127, -81.4385095083267 43.7471980548032))",PIN.410700059
